objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location
0021,Escondidos en los arboles,"Taylor, Barbara (autor); Salas, Macarena  (autor); QEB Publishing Incorporated (editorial)",2011,Gives examples of how animals use camouflage to help them adapt to their habitats and hide from predators--provided by publisher for English edition.,Education; General              ,,,,,9781609921835,Text,application/pdf,español,,,record,
0022,Reptiles,"Arlon, Penelope  (autor); Scholastic, Incorporated (editorial)",2014-01-07,"Favorite topics in active and interactive print and digital books, specially designed for newly confident readers.    Readers will love the extreme photos and facts about cool and crazy reptiles from giant dragons to snapping turtles. The book includes three incredible collection spreads featuring hundreds of snakes, and an interview with a snake expert about these misunderstood and essential creatures. The digital book focuses on reptile hunting techniques. Structured layouts, age-appropriate vocabulary, and infographics make this book a great informational text at school and at home.  A los lectores les encantarán las fotos extremas y los datos sobre los fabulosos reptiles, desde los dragones gigantes hasta las viejas tortugas. El libro incluye fotos de cientos de culebras y una entrevista con un experto sobre estas criaturas que han sido malentendidas por tanto tiempo. El libro digital se concentra en técnicas de caza de los reptiles.",Juvenile Nonfiction; Animals; Reptiles & Amphibians              ,,,,,9780545628174,Text,application/pdf,inglés,,,record,
0023,Mirame Crecer,"Arlon, Penelope  (autor); Scholastic, Incorporated (editorial)",2013,"SEE ME GROW is packed with animals growing up from baby to adult. Recognizable animals, such as puppies and elephants, are combined with more unusual babies, such as baby bees and strange shark eggs. Every animal group is covered, whether mammals or egg-layers, and unconventional life cycles such as tadpole to frog and caterpillar to butterfly are also featured. The simple text is perfect for beginning readers. The photographs are carefully linked to the text to construct that crucial picture/word link. MÍRAME CRECER es un libro que muestra cómo crecen los animales. El libro brinda información sobre cada grupo de animales. El texto simple es perfecto para los niños que recién comienzan a leer. Además, las fotografías fueron cuidadosamente escogidas para que reflejaran la información que aparece en el libro.",Juvenile Nonfiction; General; Juvenile Nonfiction; Animals; General; Juvenile Nonfiction; Animals; Dinosaurs & Prehistoric Creatures; Juvenile Nonfiction; Animals; Baby Animals; Juvenile Nonfiction; Science & Nature; Biology        ,,,,,9780545490849,Text,application/pdf,español,,,record,
0024,Reptiles de todo tipo,"MacAulay, Kelley (autor); Kalman, Bobbie  (autor); Crabtree Publishing Company (editorial)",2006,"Describes the physical characteristics, habitats, life cycle, and behavior of different kinds of reptiles, including alligators, turtles, snakes, and lizards.",Juvenile Nonfiction; Animals; General; Juvenile Nonfiction; Animals; Mammals; Juvenile Nonfiction; Animals; Reptiles & Amphibians; Juvenile Nonfiction; Science & Nature; Zoology         ,,,,,9780778788713,Text,application/pdf,español,,,record,
0025,El ciclo de vida de la rana,"Kalman, Bobbie (autor); Smithyman, Kathryn  (autor); Crabtree Publishing Company (editorial)",2005,"The Life Cycle of a Frog details the fascinating changes in a frog through its four stages: egg, tadpole, froglet, and adult. Amazing illustrations and photos help explain how metamorphosis differs in various climates and how pollution and pesticides affect frogs.",Juvenile Nonfiction; Animals; General; Juvenile Nonfiction; Animals; Reptiles & Amphibians; Juvenile Nonfiction; Science & Nature; General; Juvenile Nonfiction; Science & Nature; Biology         ,,,,,9780778787099,Text,application/pdf,español,,,record,
0026,Terremotos y volcanes,"Watt, Fiona (autor); Lumen,  (autor); Lumen (editorial)",1998,,,,,,,9789507247958,Text,application/pdf,español,,,record,
0027,Los incendios,"Rice, William B.  (autor); Teacher Created Materials (editorial)",2010-05-01,"Perhaps nothing is more frightening than seeing a forest fire rage out of control. Sometimes, however, fires are set intentionally to benefit the environment. In this Spanish title, readers will learn what fire is, how it burns, and how fires can both help and harm the areas they affect.",Juvenile Nonfiction; Science & Nature; Environmental Science & Ecosystems; Juvenile Nonfiction; Science & Nature; Disasters; Juvenile Fiction; Readers; Intermediate           ,,,,,9781433321580,Text,application/pdf,español,,,record,
0028,Huracanes!,"Hopping, Lorraine Jean  (autor); Scholastic (editorial)",1999,"Discusses where hurricanes come from, what types there are, and what can be done during one.",Hurricanes               ,,,,,9706750118,Text,application/pdf,español,,,record,
0029,Por que Hay Terremotos,"Sparks, Stacey (autor); Nau, Steve  (autor)",,,,,,,,,Text,application/pdf,,,,record,
0030,Desastres de la Tecnología,"Higginson, Sheila Sweeny  (autor); Benchmark Education Company (editorial)",2011,"Find out about the Titanic's maiden voyage, Hindenburg's fiery demise, and the Challenger explosion.",Social Science; General              ,,,,,9781450908917,Text,application/pdf,español,,,record,
0031,Leones. Spanish Scholastic Book Clubs: Animal Kingdom 5 book Set,"Inc., QEB Publishing (autor); Morgan, Sally  (autor); QEB Publishing Incorporated (editorial)",2007-01-01,,Nature; General              ,,,,,9781595663986,Text,application/pdf,español,,,record,
0032,Mascotas,"Watts, Claire (autor); Editors, Two-Can  (autor); Cooper Square Publishing Llc (editorial)",2002-04,"Este libro ilustrado para niños, muestra los animales domésticos favoritos: gatos, perros, conejos, peces dorados, hámsters, conejitos de Indias, jerbos, y periquitos. Habla en texto sencillo de cómo viven, comen y cuidan a sus crías.",Juvenile Nonfiction; Animals; Pets; Juvenile Fiction; Science & Nature; General            ,,,,,9781587284908,Text,application/pdf,español,,,record,
0033,En Safari,"Watts, Claire  (autor); Cooper Square Publishing Llc (editorial)",2001-09,"La obra introduce a los niños en el conocimiento de la vida animal en las llanuras africanas. A través de sus páginas y del empleo de un vocabulario sencillo, los pequeños tendrán acceso a información privilegiada acerca de especies africanas tan interesantes como leones, cebras, elefantes, gorilas, avestruces, rinocerontes y muchas otras. La obra además cuenta con una muestra considerable de hermosas, auténticas y también dramáticas fotografías a todo color de los animales en acción en su medio natural, las que acompañadas de un lenguaje simple narran hechos esenciales acerca de este interesante y sorprendente mundo animal. Aspectos relativos a cómo viven, de qué se alimentan, cuál es su hábitat y cómo cuidan a sus crías las distintas especies, son tratados en esta imperdible edición. Las páginas finales permiten reforzar conceptos aprendidos a lo largo del libro.",Juvenile Nonfiction; Animals; General; Juvenile Nonfiction; Animals; Jungle Animals; Juvenile Nonfiction; Science & Nature; General           ,,,,,9781587283925,Text,application/pdf,español,,,record,
0034,Momentos divertidos en el reino animal,"Maze, Stephanie  (autor); Moonstone Press (editorial)",2001,"Este libro presenta una serie de magníficas fotografías tomadas por algunos de los mejores fotógrafos del mundo dedicados a registrar imágenes de la vida silvestre. Estas atractivas imágenes están acompañadas de textos sencillos y fácilmente comprensibles, presentando una gran diversidad de especies animales en actitudes muy divertidas, en medio de su entorno natural. De esta forma, los niños podrán reconocer que los animales ûal igual que ellos mismos y las demás personasû también desarrollan actividades entretenidas, comparables a los juegos y la recreación. En el mundo natural, estas actividades permiten que las crías vayan aprendiendo conductas que les resultarán muy útiles en su vida adulta. El libro presenta una amplia diversidad de hábitats y paisajes, reforzando en los niños el sentimiento de pertenencia y responsabilidad hacia el mundo en que viven.",Juvenile Nonfiction; Animals; General              ,,,,,9780970776853,Text,application/pdf,español,,,record,
0035,Momentos tiernos en el reino animal,"Maze, Stephanie  (autor); Moonstone Press (editorial)",2001,Fotografías y texto que presenta una variedad de animales cuidando de sus cachorros.,Juvenile Nonfiction; Animals; General; Science; Life Sciences; Zoology; General            ,,,,,9780970776822,Text,application/pdf,español,,,record,
0036,Momentos de paz en el reino animal,"Maze, Stephanie  (autor); Moonstone Press (editorial)",2001,Photographs and simple text present a variety of animals in the places where they live.,Science; Life Sciences; Zoology; General             ,,,,,9780970776846,Text,application/pdf,español,,,record,
0037,Las huellas de los animales,"Dorros, Arthur  (autor); Scholastic (editorial)",1993,Spanish translation of this colorful animal picture book.,Science; General              ,,,,,9780590468473,Text,application/pdf,español,,,record,
0038,Como Ven Los Murcielagos En La Oscuridad?,"Berger, Melvin (autor); Berger, Gilda (autor); Berger, Melvin Y Gilda  (autor); Scholastic (editorial)",2004-01-01,"Puedes convertirte en un experto en murciélagos, lechuzas, cucarachas y otras nocturnas y sorprender a tu familia y a tus amigos con datos fascinantes. Cientos de datos e ilustraciones impresionantes te darán una idea de lo que hacen los animales nocturnos mientras duermes.",Nocturnal animals               ,,,,,9780439584333,Text,application/pdf,español,,,record,
0039,La familia del chimpancé,"Goodall, Jane (autor); Neugebauer, Michael  (autor); SITESA (editorial)",1991,British naturalist Jane Goodall provides an intimate portrait of a group of chimpanzees in the jungles of Africa which she has studied for many years.,Chimpanzees               ,,,,,9686394907,Text,application/pdf,español,,,record,
0040,Ovejas,"Brady, Peter  (autor); Bridgestone Books (editorial)",1999,"La oveja es un animal herbívoro porque se alimenta de hierba. Es vertebrado, es decir, tiene huesos. Es mamífero y como tal, nace del vientre de la madre y de recién nacido se alimenta de la leche de sus mamas. Tiene cuatro patas y un rabo. Su cuerpo está cubierto de lana que durante el verano se corta y a eso se le llama esquilar. La lana se utiliza para hacer prendas de vestir. De la oveja también aprovechamos la carne para alimentarnos. Un conjunto de ovejas se llama rebaño, su voz se llama balar y su casa redil. El macho es el carnero y las crías son los corderos. Este título pertenece a la serie Animales de la granja. Aquí, las características físicas y necesidades especiales de las ovejas se presentan a través de un texto sencillo y fotografías a color. Ideal para niños de 7 a 9 años.",Juvenile Nonfiction; Animals; Farm Animals; Juvenile Nonfiction; Animals; Mammals; Juvenile Nonfiction; Foreign Language Study; Spanish           ,,,,,9781560657903,Text,application/pdf,español,,,record,
0041,Polar Bears,"Canizares, Susan (autor); Moreton, Daniel  (autor); Scholastic (editorial)",2002,Photographs and simple text depict the daily activities of polar bears in the Arctic.,Juvenile Nonfiction; Animals; Bears              ,,,,,439411602,Text,application/pdf,inglés,,,record,
0042,MamÍferos,"Ring, Susan  (autor); Capstone (editorial)",2005,A very simple introduction to various mammals and some of their characteristics.,Foreign Language Study; Spanish; Juvenile Nonfiction; Animals; Mammals; Nature; Animals; Mammals; Science; General          ,,,,,9780736841634,Text,application/pdf,español,,,record,
0043,Jaguares Y Otros Felinos de Latinoamérica,"Williams, Zella  (autor); PowerKids Press (editorial)",2009-08-15,"Looks at the behavior, characteristics, and cultural importance of the jaguar, and presents basic information about other species of Latin American wild cats, including ocelots and pumas.","Juvenile Nonfiction; Animals; General; Juvenile Nonfiction; Animals; Lions, Tigers, Leopards, etc; Juvenile Nonfiction; Foreign Language Study; English as a Second Language; Juvenile Nonfiction; Science & Nature; Zoology         ",,,,,9781435833784,Text,application/pdf,inglés,,,record,
0044,"Pezuñas, Garras y Más","Leake, Diyan  (autor); Heinemann-Raintree Library (editorial)",2007-11-14,"Children learn about feet, including what they are for, where they are found, and what they look like.",Juvenile Nonfiction; General; Juvenile Nonfiction; Science & Nature; Anatomy & Physiology; Juvenile Nonfiction; Science & Nature; Biology; Juvenile Nonfiction; Science & Nature; Zoology          ,,,,,1432905449,Text,application/pdf,español,,,record,
0045,Los Osos,"Bailey, Donna  (autor); Steck-Vaughn Library (editorial)",1991,Discusses the characteristics of different kinds of bears and also introduces the panda.,Juvenile Nonfiction; Animals; Bears; Nature; Animals; Bears; Nature; Animals; Mammals           ,,,,,811426599,Text,application/pdf,español,,,record,
0046,El Mundo de Los Elefantes,"Group, Wright  (autor); Wright Group (editorial)",2000-03-01,,,,,,,769908691,Text,application/pdf,inglés,,,record,
0047,Animales nocturnos,"Royston, Angela  (autor); Plaza Joven (editorial)",1992*,"Text and photographs describe some animals who are active at night, such as foxes, bats, owls, and fieldmice.",Nocturnal animals               ,,,,,840131450X,Text,application/pdf,español,,,record,
0048,El libro de los animales Del Campo,"Beaumont, Émilie (autor); Selley, Lindsey  (autor); Susaeta (editorial)",1992,Describes many of the different kinds of birds.,Animals               ,,,,,8430572872,Text,application/pdf,español,,,record,
0049,Grunidos!,"Berger, Melvin (autor); Berger, Mel  (autor); Scholastic (editorial)",1999-01-01,"A simple explanation of what bears look like, how they hunt, what they eat, how they sleep during the winter, and how their cubs are born and raised.",Juvenile Nonfiction; Animals; Bears              ,,,,,439163072,Text,application/pdf,español,,,record,
0050,Gatos que rugen!,"Weinberger, Kimberly A.  (autor); Scholastic (editorial)",2000,,"Felidae; Spanish language materials; Cat family (Mammals); Juvenile literature; Endangered species; Children's fiction; Cats, fiction; Spanish language, readers /           ",,,,,439164680,Text,application/pdf,español,,,record,
0051,Animales Del Zoologico,"Colella, Olga  (autor); Sigmar (editorial)",1992,"Excelentes fotografias de animales que atraen a los ninos, con textos e informacion en letras grandes y claras.",Juvenile Nonfiction; Animals; General              ,,,,,9789501108989,Text,application/pdf,español,,,record,
0052,El libro de los animales Del Bosque,"Beaumont, Émile  (autor); Susaeta (editorial)",1992,Describes many of the animals found at home in the wild.,,,,,,9788430572878,Text,application/pdf,español,,,record,
0053,El libro de los animales Salvajes,"Beaumont, Émilie (autor); Selley, Lindsey  (autor); Susaeta (editorial)",1992,Describes many of the different kinds of birds.,Animals               ,,,,,9788430572878,Text,application/pdf,español,,,record,
0054,¿Quién ha pasado por aquí?,"Lange, Monika  (autor); Juventud (editorial)",2009,"Huellas de pisadas en la nieve, piñas de abeto mordisqueadas, moluscos en la playa, huellas fósiles de dinosaurio: ¡quien tenga ojos bien abiertos podrá llegar a seguir la pista los animales que se ocultan y, con la ayuda de este libro, logrará identifica",Education; Bilingual Education; Juvenile Nonfiction; Animals; General             ,,,,,9788426137135,Text,application/pdf,español,,,record,
0055,El Suelo,"Rosinsky, Natalie M.  (autor); Capstone Classroom (editorial)",2007-01-01,How does that work? Why? These fun science books answer kids' questions about the world around them--and encourage them to ask more.,Juvenile Nonfiction; Science & Nature; Earth Sciences; General; Juvenile Nonfiction; Science & Nature; Environmental Science & Ecosystems            ,,,,,9781404824959,Text,application/pdf,español,,,record,
0056,El huerto,"Parramón, José María (autor); Sánchez, Isidro (autor); Sánchez, Isidro Sánchez  (autor); Barron's (editorial)",1991,"Explains, in Spanish, how vegetables are grown on a farm. Includes information for parents and teachers.",Juvenile Nonfiction; Concepts; General; Juvenile Nonfiction; Lifestyles; Farm & Ranch Life; Juvenile Nonfiction; Technology; Agriculture           ,,,,,9780812047165,Text,application/pdf,español,,,record,
0057,La Calabacita de Zora,"Pryor, Katherine (autor); Raff, Anna  (autor); Readers to Eaters (editorial)",2020-09-11,"A YOUNG GARDENER LEARNS ABOUT SHARING FOOD AND THE REWARDS OF GROWING A COMMUNITY THROUGH FOOD. THE SPANISH EDITION OF ZORA'S ZUCCHINI. The first zucchini of a summer garden is always exciting, but what happens when the plants just keep growing...and growing...and growing? Zora soon finds herself with more zucchini than her family can bake, saute, or barbecue. Fortunately the ever-resourceful girl comes up with the perfect plan--a garden swap! Author Katherine Pryor and artist Anna Raff followup with their first book, Sylvia's Spinach, with this playful story of a child who discovers not only the wonder of growing food but the satisfaction of growing a community. Shelf Awareness, says ""Zora's Zucchini satisfies every appetite with its clean, happy storyline and whimsical illustrations."" and EcoConsumer, writes ""We'll never make headway with the pressing environmental issues of our time - such as climate change, community-building and food waste - without brilliant, fun little books like Zora's Zucchini ."" A Whole Kids Foundation Book Club selection.",Gardening; General; Juvenile Fiction; Health & Daily Living; Daily Activities; Juvenile Fiction; Social Themes; New Experience; Juvenile Fiction; Social Themes; Self-Esteem & Self-Reliance; Juvenile Fiction; Cooking & Food         ,,,,,9781735152202,Text,application/pdf,español,,,record,
0058,Semillas,"Guillain, Charlotte  (autor); Capstone Classroom (editorial)",2008,"Photographs and simple Spanish text describe different types of seeds, the plants they come from, the plants that grow from them, the insects and animals that eat them, and other related topics.",Juvenile Nonfiction; Science & Nature; Flowers & Plants; Juvenile Nonfiction; Readers; Beginner; Juvenile Nonfiction; Science & Nature; Biology           ,,,,,9781432917395,Text,application/pdf,español,,,record,
0059,Libro De Conceptos: Plantas,"Hoyt, Linda  (autor); National Geographic School Publishing, Incorporated (editorial)",2007-06-07,Plantas,Language Arts & Disciplines; General; Language Arts & Disciplines; Linguistics; General             ,,,,,9780736238274,Text,application/pdf,españolpañol,,,record,
0060,La Cosecha,"Cipriano, Jeri S. (autor); Trumbauer, Lisa  (autor); Capstone (editorial)",2005,"Simple text and photographs show how some fruits, vegetables, grains, and nuts grow and are harvested.",Foreign Language Study; Spanish; Juvenile Nonfiction; Lifestyles; Farm & Ranch Life; Juvenile Nonfiction; Technology; Agriculture; Juvenile Nonfiction; Social Science; General; Social Science; General; Social Science; Sociology; General; Technology & Engineering; Agriculture; Agronomy; General     ,,,,,9780736841764,Text,application/pdf,español,,,record,
0061,Atlas de las plantas,"Pérols, Sylvaine (autor); Delafosse, Claude (autor); Jeunesse, Gallimard  (autor); SM Ediciones (editorial)",1996,"Este libro explora la selva, la sabana, la tundra y el desierto, y descubre qué plantas crecen en los diferentes continentes. Al pasar las páginas transparentes se pueden identificar las distintas especies de plantas y su situación geográfica.",Botany               ,,,,,9788434846555,Text,application/pdf,español,,,record,
0062,El ciclo de vida de la flor,"Aloian, Molly (autor); Kalman, Bobbie  (autor); Crabtree Publishing Company (editorial)",2006,"The Life Cycle of a Flower looks at the growth of a flowering plant from seed to the time it is a mature plant capable of producing new seeds. Delightful illustrations, stunning photographs and easy-to-read text help young readers.",Juvenile Nonfiction; Animals; Bears; Juvenile Nonfiction; Animals; Mammals; Juvenile Nonfiction; Science & Nature; Flowers & Plants; Juvenile Nonfiction; Science & Nature; General; Juvenile Nonfiction; Science & Nature; Biology        ,,,,,9780778787174,Text,application/pdf,español,,,record,
0063,Las plantas son valiosas,"Walker, Colin Roland (autor); Madrigal, Sylvia (autor); Press, Modern Curriculum  (autor); Modern Curriculum Press (editorial)",1993,,Plants               ,,,,,9780813674872,Text,application/pdf,español,,,record,
0064,El motivo de una flor,"Heller, Ruth  (autor); Grijalbo (editorial)",1990,Rhyming text and illustrations describes the different ways in which the flower contributes in the reproduction of plants.,Juvenile Nonfiction; Science & Nature; Flowers & Plants              ,,,,,9684199597,Text,application/pdf,español,,,record,
0065,Suelo que da vida,"Walker, Colin Roland (autor); Calderón, Sol M. (autor); Press, Modern Curriculum  (autor); Modern Curriculum Press (editorial)",1993,,Earth sciences               ,,,,,9780813671130,Text,application/pdf,español,,,record,
0066,How a Seed Grows,"Jordan, Helene J.  (autor); HarperCollins (editorial)",2006-06-13,Aprende y Descubre La Ciencia Cómo crece una semilla ¿Cómo puede una pequeña bellota crecer hasta llegar a ser un gran roble? Este libro nos enseña los secretos de las semillas. Léelo y aprenderás a transformar un sobre de semillas en un precioso jardín.,Juvenile Nonfiction; Science & Nature; Flowers & Plants; Juvenile Nonfiction; Science & Nature; General; Foreign Language Study; Spanish           ,,,,,9780060887162,Text,application/pdf,español,,,record,
0067,El viaje del polen: La Reproducción De Las Plantas,"Kim, Mi-Gyeong (autor); Lee, Yeong-Rim (autor); 김미경,  (autor); LOQUELEO (editorial)",2018,Explica las diferentes maneras en que las flores son polinizadas por lo que pueden producir nuevas plantas.,Juvenile Nonfiction; Science & Nature; Flowers & Plants              ,,,,,9781641012140,Text,application/pdf,español,,,record,
0068,Papas Y Zanahorias 123,"Smith, Michael K. (autor); Borgia, Rubí  (autor); Rigby Education (editorial)",1998-01-01,PAPAS Y ZANAHORIAS 123 SB,Education; Schools; Levels; Elementary             ,,,,,9780817281601,Text,application/pdf,inglés,,,record,
0069,Como crece una Semilla,"Jordan, Helene Jamieson (autor); Jordan, Helene J.  (autor); Rayo (editorial)",2006-06-01,"Spanish translation of ""How a seed grows"". Uses observations of bean seeds planted in egg shells to demonstrate the growth of seeds into plants. For primary (K-3) school children.",Juvenile Nonfiction; Science & Nature; Botany              ,,,,,9781415676653,Text,application/pdf,español,,,record,
0070,Lola planta un jardín / Lola Plants a Garden,"McQuinn, Anna  (autor); Charlesbridge Publishing (editorial)",2017-03-14,"How does your garden grow?Book-loving Lola is inspired by a collection of garden poems that she reads with her mommy. She wants to plant her own garden of beautiful flowers, so she and Mommy go to the library to check out books about gardening. They choose their flowers and buy their seeds. They dig and plant. And then they wait. Lola finds it hard to wait for her flowers to grow, but she spends the time creating her own flower book. Soon she has a garden full of sunflowers and invites all of her friends for cakes and punch and a story amongst the flowers. Lola is a beloved character that continues to shine for young readers. Her curiosity and love of books is infectious. Parents and children love sharing Lola's stories. Rosalind Beardshaw's beautiful illustrations highlight Lola's close-knit family and how they use stories and books to interact with their world. Lola's brightly colored and growing garden is the perfect surrounding for this bright little girl.",Juvenile Fiction; Science & Nature; General; Juvenile Fiction; Books & Libraries; Juvenile Fiction; Family; General           ,,,,,9781580897860,Text,application/pdf,español,,,record,
0071,Arboles y flores,"Berry, C. E. (autor); Ishii, Miki  (autor); Time-Life, Atlántida (editorial)",1989,"Presents in question and answer format information about how all kinds of plants live, breathe, and reproduce. An activities section is included.",Juvenile Nonfiction; Science & Nature; Flowers & Plants; Juvenile Nonfiction; Science & Nature; Trees & Forests            ,,,,,9684180934,Text,application/pdf,español,,,record,
0072,Bear at Home,"Blackstone, Stella  (autor); Barefoot Books (editorial)",2010,Come along with Bear and learn about the different rooms of his house. Rhyme and repetition builds vocabulary and a full spread 'blueprint' of Bear's house reinforces the learning layers. This bilingual edition includes vocabulary words in Spanish and English and is perfect for classroom or home learning. Ages: 2-6 Colour illustrations,Juvenile Nonfiction; Foreign Language Study; General; Juvenile Nonfiction; Readers; Intermediate; Juvenile Fiction; Animals; Bears; Juvenile Fiction; Technology; General; Juvenile Fiction; Stories in Verse        ,,,,,9781846864223,Text,application/pdf,español,,,record,
0073,Bear in Sunshine,"Blackstone, Stella  (autor); Barefoot Books (editorial)",2009,A Oso le gusta jugar cuando el sol brilla.,Juvenile Nonfiction; Concepts; Date & Time; Juvenile Fiction; Animals; Bears; Juvenile Fiction; Concepts; Seasons; Juvenile Fiction; Science & Nature; Weather; Juvenile Fiction; Stories in Verse        ,,,,,9781846863899,Text,application/pdf,español,,,record,
